IDLibro,Titolo,Autori,Casa_Editrice,Luogo_stampa,Anno_Pubblicazione,ISBN,Lingua,Genere,Data_Cat,Volumi,Numero
171BC23,"Cuore di cane","Bulgakov Michail Afanas'evic","Tascabili Economici Newton",Roma,1975,,Italiano,"Satira, Fantascienza, Distopia",2023-03-08,Unico,171
172BP23,"Post Office","Bukowski Charles","La biblioteca della Repubblica",Barcellona,2002,8481305111,Italiano,"Autobiografia, Narrativa",2023-03-08,Unico,172
173BP23,"Post Office","Bukowski Charles","La biblioteca della Repubblica",Barcellona,2002,8481305111,Italiano,"Autobiografia, Narrativa, Narrativa",2023-03-08,Unico,173
174BI23,"I trentanove scalini","Buchan John","Gruppo Editoriale Newton",Ariccia,2004,8854101109,Italiano,"Giallo/Thriller, Avventura",2023-03-08,Unico,174
175BI23,"Il gran sole di Hiroscima","Bruckner Karl","Giunti Bemporad Marzocco",Firenze,1969,,Italiano,"Realistico, Narrativa",2023-03-08,Unico,175
176BD23,"Don Giovanni in Sicilia","Brancati Vitaliano","La biblioteca della Repubblica",Barcellona,2003,8496142167,Italiano,Narrativa,2023-03-08,Unico,176
177BF23,"Fahrenheit 451","Bradbury Ray","La biblioteca della Repubblica",Roma,2003,8496142442,Italiano,"Narrativa, Fantascienza",2023-03-08,Unico,177
178BL23,"L'invenzione della poesia, le lezioni americane","Borges Luis Jorge",Mondadori,Milano,2001,8804488409,Italiano,Raccolta,2023-03-08,Unico,178
179BO23,"Opinioni di un clown","Boll Heinrich","La biblioteca di Repubblica",Roma,2002,8481304682,Italiano,Storico,2023-03-08,Unico,179
180BO23,"Opinioni di un clown","Boll Heinrich","La biblioteca di Repubblica",Roma,2002,8481304682,Italiano,Storico,2023-03-08,Unico,180
181BO23,"Orlando Innamorato","Boiardo Matteo Maria",Garzanti,Italia,1986,881151990X,Italiano,Narrativa,2023-03-08,Unico,181
182BO23,"Orlando Innamorato","Boiardo Matteo Maria",Garzanti,Italia,1986,881151990X,Italiano,Narrativa,2023-03-08,Unico,182
183BD23,Decamerone,"Boccaccio Giovanni",Mondadori,Italia,1992,8804256281,Italiano,"Sentimentale/Rosa, Satira, Narrativa",2023-03-08,Unico,183
184DD23,"Delitto e Castigo","Dostoevskij Fëdor",Enaudi,Milano,1993,88-06-13213,Italiano,Narrativa,2023-03-11,Unico,184
185DI23,"Io speriamo che me la cavo","D'Orta Marcello","Arnoldo Editori",Milano,1990,88-04-33201-8,italiano,Commedia,2023-03-11,Unico,185
186BT23,Tristano,"Balestrini Nanni",Feltrinelli,Milano,1966,,Italiano,Fantastoria/Ucronia,2023-03-22,Unico,186
187BH23,Herzog,"Bellow Saul","La biblioteca della Repubblica",Roma,2005,8481305391,Italiano,Narrativa,2023-03-22,Unico,187
188BI23,"Il gabbiano azzurro","Brignetti Raffaello",Mondadori,Parigi,1973,,Italiano,"Giallo/Thriller, Narrativa",2023-03-22,Unico,188
